date,title,description
2023/10/27,"The Out-of-Touch Adults’ Guide to Kid Culture: Gen Z Goes to Work, Finds It Time-Consuming","This week, the whole internet is talking about one young woman’s journey into career disillusionment—specifically, her shocking discovery (shared via TikTok) that having a job cuts into your personal time in a major way. Meanwhile, youth in Britain are using …"
2023/10/23,Apple HomePods now have native YouTube Music support,"The Venn diagram of HomePod owners and YouTube Music subscribers probably doesn't have a lot of overlap. However, those who use both Apple's speakers and Google's music streaming service may be pleased to learn that the two now play more nicely together. …"
2023/10/28,Apple’s Journal app is kind of smart — and kind of basic,"Apple Journal comes with iOS 17.2 and includes features for saving photos, video, text, and more. It also includes a suggestions API that uses AI to try and guess which moments matter most."
2023/11/19,Taylor Swift appears out of breath at Rio concert,Video showed the singer gasping for air in between songs during her performance in the stifling heat.
2023/10/31,Taylor Swift and Barbie take over this Halloween,"From Utah to Massachusetts, pop culture references have turned this year’s spooky season pink."
2023/11/21,Brazil records its hottest ever temperature,The town of Araçuaí in the country's southeast hit a high of 44.8C (112.6F) on Sunday.
2023/11/08,Taylor Swift Named Apple Music's Artist of the Year,"Apple today announced that Taylor Swift has been named Apple Music's Artist of the Year for 2023 after reaching ""a new realm of superstardom this year."" Swift released a new album last month called 1989 (Taylor's Version), and she has been on tour this y…"
2023/11/01,There's one thing Taylor Swift isn't talking about,Taylor Swift is a billionaire after her Eras Tour and movie boosted her 2023 net worth. The pop star's brand benefits from her downplaying her wealth.
2023/11/01,The Fed held interest rates steady — but the fight against inflation is not over yet,"The Federal Reserve left interest rates unchanged Wednesday, but left the door open to additional rate hikes in the future, if necessary, to curb inflation."
2023/11/15,Public transit systems try to avoid a 'death spiral' as remote work hurts ridership,"Big public transit systems are warning of deep service cuts as they struggle to make up lost revenue from fewer riders. But in some places, ridership is growing as systems adapt to the new normal."
2023/11/20,"'Race this': Mikaela Shiffrin on her mindset, and her playlist, this ski season","When many of us take time off from our jobs, we can forget basic stuff, like computer passwords. So when ski season starts, how does Mikaela Shiffrin click back into scorching slalom courses?"
2023/11/20,"Biden turns 81, pardons turkeys, confuses Taylor Swift with Britney Spears","""That's a big bird, man. I'm impressed"" Biden said during the ceremony where he confused Britney Spears and Taylor Swift."
2023/11/15,"A Taylor Swift song is the best investment advice for 2024, Goldman Sachs says",This isn't the first time Taylor Swift has occupied the head space of Wall Street forecasters and economists this year.
2023/11/01,"A Taylor Swift Airbnb is a bachelorette dream home where megafans can bask in her ""Eras"" for up to $1,400 a night","You can rent this Taylor Swift Airbnb in Scottsdale, Arizona. Each room is devoted to a different era, from ""Reputation"" to ""Lover"" to ""Folklore."""
2023/10/21,"A movie theater staffer describes what it was like to work Taylor Swift's Eras Tour film premiere, which was so loud it blew out 2 amps",Taylor Swift's Eras Tour film was so loud it blew the sound system in one theater.
2023/11/04,"Gen Z's financial icons revealed: Taylor Swift beats Warren Buffett, and Bill Gates tops the list","Bill Gates, Beyoncé, and Oprah Winfrey made the list of people who embody financial success for Gen Z, according to a new survey of college students."
2023/11/12,"Dolly Parton, Taylor Swift, and more celebrities with species named after them","Some scientists love naming new species after celebrities. From David Bowie's spider to Dolly Parton's lichen, here are famously named species."
2023/10/28,Elon Musk appears to have given up on trying to camouflage his private-jet travels with an FAA program used by Jeff Bezos and Taylor Swift,"Elon Musk had signed up for the FAA's PIA program that allows private jet owners to fly incognito, but he appears to have stopped using it for now."
2023/11/06,Nvidia boss Jensen Huang joked that Jackie Chan should play him in a movie,"""I'll do my own stunts, yeah. I'll do all my own typing,"" Nvidia CEO Jensen Huang joked."
2023/10/30,The boomer market boon,Baby Boomers are dominating the economy these days. Here's how you can invest to cash-in on their spending spree.
2023/10/27,"Mark Zuckerberg's Meta has lost nearly $50 billion on the metaverse - more than Ford, Hershey, or Kraft Heinz are worth","Facebook-parent Meta has lost $47 billion in its metaverse division in under five years, a sum that's close to the market value of Chipotle or Target."
2023/11/11,Insider Today: Financial freedom's reality,Two people who consider themselves financially free shared a glimpse of what their lives are like — and it's actually a lot of work.
2023/10/27,Goldman exec exits revealed,Insider analysis of partner exits under CEO David Solomon provides a fascinating look at the turnover at one of Wall Street's most prestigious banks.
2023/10/27,AMC's CEO thought he was texting naughty photos to a former ballerina fling. Then everything went haywire.,A monthslong blackmail attempt for hundreds of thousands of dollars targeted AMC's CEO Adam Aron. He stood his ground.
2023/10/25,"In a world of infinite AI, the new luxury item will be humans","An explosion of commoditized machine-generated products and services will make human-centered offerings rarer, more desirable and therefore more valuable."
2023/11/16,The billionaire's calendar,Get an inside look at the must-see events and gatherings the world's richest people attend throughout the year.
2023/11/13,"He was working three full-time jobs at Meta, IBM, and Tinder. His bosses didn't know.","Since the start of the pandemic, more workers have seized on the privacy provided by remote work to secretly take on two or more jobs."
2023/11/16,The tech world's quiet connector,"A successful founder herself, Ruzwana Bashir connects everyone from Elon Musk to Marissa Mayer."
2023/11/06,Taylor Swift accused of witchcraft by MAGA pastor Hank Kunneman,"Hank Kunneman is employed as a MAGA pastor. It's not bad work if you can stomach spouting uncreative and discredited conspiracy theories to dimwitted, credulous, and perpetually enraged Trump worshippers. If you know who Kunneman is, you probably remember him…"
2023/11/14,Google sues two men who sent out fake copyright takedowns,"Google claims that two men used fraudulent copyright takedown notices to target 620,000 URLs in its search index, and has filed a lawsuit in California accusing them of sabotaging their competitors and trying to damage the search engine's business. Nguyen Van…"
2023/11/11,Trump's dementia and teddy bear sex in this week's dubious tabloids,"'National Enquirer' ""Matthew Perry Didn't Have To Die!"" screams the cover, declaring: ""Grim cover-up exposed!"" Apparently ""the truth behind the tragic funnyman's final minutes is being buried by the Los Angeles County Medical Examiner."" The 'Enqu…"
2023/10/23,How Marc Andreessen is like Robert Moses: ‘It’s time to build’ AI  | The AI Beat,Marc Andreessen and Robert Moses both said 'It's time to build.' But are the Techno-Optimists destined for a Moses-style reckoning?
2023/11/02,Apple elimina el plan más barato de Apple Music,"Apple ha dejado de ofrecer uno de sus planes de suscripción más baratos a Apple Music, Apple Voice, que desde 2021 permitía a los usuarios utilizar el servicio de música en streaming con comandos a través de Siri por un precio de 4,99 euros al mes. La compañí…"
2023/10/27,The Meaning Behind Taylor Swift’s 1989 Vault Track ‘Slut!’,"Taylor Swift boldly reclaims a word that's been hurled at her in 1989 (Taylor's Version), with ""Slut!"""
2023/11/10,The Biggest Snubs and Surprises of the 2024 Grammy Nominations,"SZA, Taylor Swift, Victoria Monét, and Phoebe Bridgers are among the most nominated artists at the 2024 Grammy Awards."
2023/11/19,Taylor Swift Postpones Rio Concert Amid Safety Concerns Following Fan’s Death,"Taylor Swift took to social media on Saturday evening to announce that she was postponing her concert, amid concerns over safety."
2023/10/25,A Ranking of Taylor Swift’s ‘From the Vault’ Songs,"With each re-recorded album, Taylor Swift has also released songs that almost made the cut. Here are our favorite 'From the Vault' tracks."
2023/10/26,Taylor Swift’s ‘All You Had To Do Was Stay’ Is Criminally Underrated,"It's time to reassess the track from Taylor Swift's 1989, which is set to be rereleased on Oct. 27."
2023/10/27,The Hottest Costume This Halloween? The All-American Couple,What this year's most popular Halloween costumes say about our current attitudes
2023/11/20,Biden Pardons National Thanksgiving Turkeys on His 81st Birthday,"Turkeys Liberty and Bell have new appreciation for the phrase, “Let freedom ring.”"
2023/11/18,Social Security Doesn’t Make Sense Anymore,"It’s a transfer of wealth, and not to the people who need it."
2023/10/24,Why do people think Taylor Swift secretly wrote Henry Cavill’s new spy movie?,Argylle stars Henry Cavill and Dua Lipa and is based on a book by author Elly Conway — who Taylor Swift fans are convinced is the pop superstar herself.
2023/10/27,The Five Nights at Freddy’s movie is a dizzying mashup of decades of culture,"The Five Nights at Freddy’s movie gives FNAF fandom grist for YouTube explainers, but it’s thin soup for everyone else. In theaters and streaming on Peacock."
2023/11/01,Flex and superflex rankings,"Trying to decide between a couple of closely ranked fantasy football players this week? Eric Karabell ranks the top 150 QBs, RBs, WRs and TEs to make the decision easy for you."
2023/10/27,"Meghan Markle's ""casting couch"" and an Epstein ""sex slave"" murdered in this week's dubious tabloids","'National Enquirer' ""Natalee's Killer Gets Away With Murder!"" indignantly screams that bastion of truth, justice and the American way, the 'National Enquirer.' ""Shameless Meghan Seduces Costner!"" Jordan Van Der Sloot is already serving 28 years in a …"
2023/11/13,Enjoy vinyl on-the-go with the world's smallest wireless portable record player for only $79.97,"TL;DR: Enjoy vinyl records like never before with the innovative RokBlok 2.0, the world's smallest portable wireless record player, for only $79.97 (Reg. $99) until 11:59 PM on 11/16. CDs may be a thing of the past, but vinyl keeps on keepin' on. — Read th…"
2023/11/10,Taylor Swift Sets Grammy Awards Record With ‘Anti-Hero’ Nomination,The “Midnights” singer received six nominations in all.
2023/10/23,CBS Shows Just How Much Taylor Swift Affects Travis Kelce’s Game,"The Chiefs tight end averages 99 receiving yards a game when the singer is in attendance, versus 46.5 yards when she’s a no-show."
2023/11/06,"Tras arrasar con su gira, su película y ser la reina del streaming, Taylor Swift consigue un nuevo hito: ser milmillonaria","Taylor Swift ha conseguido postrar a sus pies a toda una legión de fans en todo el mundo, pero lo más importante, es que también lo ha hecho con la industria de la música. <!-- BREAK 1 --> Tras arrasar con la gira, triunfar en las salas con un… ¿cineconcierto…"
2023/10/31,Nuevo choque entre Taylor Swift y las discográficas: los contratos cambian para evitar que otros artistas sigan sus pasos,"Cuando Taylor Swift anunció en 2021 que iba a regrabar todos los discos que editó con Big Machine Records, su decisión fue recibida con cierto excepticismo, ya que la artista estaba en medio de una cruenta guerra por la recuperación de sus masters y se entend…"
2023/10/27,"Cuando compras una entrada Ticketmaster se lleva una comisión. Y ahora cuando la revendes, también","El nuevo sistema de reventa de entradas de Ticketmaster, fan-to-fan, ha llegado recientemente a España tras un polémico recorrido en Estados Unidos. Algunos fans que han intentado comprar entradas una vez agotadas protestan por algunas condiciones que conside…"
2023/10/30,"La crítica la odia, el público la adora: 'Five Nights at Freddy's' bate records de taquilla en su primer fin de semana","Dada la popularidad del juego que adapta, era de esperar un considerable éxito en taquilla, pero no hasta este punto: 'Five Nights at Freddy's', basada en el popularísimo videojuego indie de terror, ha reventado la taquilla este fin de semana. Además, sentand…"
2023/10/24,Cómo un joven anónimo de A Coruña llegó al #1 mundial de Spotify: la estrategia detrás del éxito de Íñigo Quintero,"""Sueñas alto, es el poder que te han dado desde el cielo"". No me sirven tus pocas señales, ya nada es como antes"". Son los versos de la canción más escuchada en el Top Mundial de Spotify. Pero sorprende que nada de lo que quieren decir tenga que ver con l…"
2023/10/23,"Curling, críquet, flag football… cómo España se ha colado en el top de casi todos los deportes raros en auge","Este fin de semana el equipo español mixto de curling se alzó con la medalla de plata en el Mundial disputado en Aberdeen (Escocia), tras perder la final contra Suecia por 8-2. Lo conseguía después de haber eliminado en semifinales a Canadá, defensor del tí…"
2023/10/27,Hay un estreno indio tan potente que ha sacado a 'The Marvels' de todas las salas IMAX de su país: 'Tiger 3',"12 de noviembre es la fecha de estreno de la próxima gran superproducción india: 'Tiger 3'. Está previsto un éxito descomunal, ya que sus protagonistas son grandes estrellas en el país. El problema (no para ellos, desde luego) es que su estreno casi coincide …"
2023/11/12,WATCH: Taylor Swift and Travis Kelce share a kiss after her Buenos Aires concert,Video shows the singer and Chiefs’ tight end embracing each other after her show.
2023/11/03,"Odds & Ends: November 3, 2023",End by Explosions in the Sky. I first discovered the instrumental rock band Explosions in the Sky from my favorite television show of all time: Friday Night Lights. I love the way their moody and atmospheric songs contain what the band calls “cathartic mini-s…
2023/10/23,Innovative Ways to Demand an N.B.A. Trade,"If you want attention for your cause, just ask Taylor Swift for help. The Swifties will rally behind whatever she posts."
2023/11/06,The Marvels just might be the MCU’s first huge box office disaster,"With The Marvels, the MCU might experience its first major box office disaster."
2023/11/13,What the Doomsayers Get Wrong About Deepfakes,Experts have warned that utterly realistic A.I.-generated videos might wreak havoc through deception. What’s happened is troubling in a different way.
2023/11/12,A Cathartic Watch,Entertainment musts from Elizabeth Bruenig
2023/10/24,Britney Finally Tells Her Story. It’s Dark.,"With her new memoir, the pop star tries to close a long and maddening chapter of her life. Will we finally let her?"
2023/11/03,Here’s What Biden Can Do to Change His Grim Polling,The president has a popularity problem. He needs to remind Americans who he isn’t.
2023/11/17,Taylor Swift gets 'heavenly' welcome from Christ the Redeemer,The famous statue in Rio de Janeiro is illuminated as the global pop sensation arrives on her Eras tour.
2023/11/18,Taylor Swift postpones Rio de Janeiro concert after death of fan,The US pop star says she is putting safety first after temperatures in the Brazilian city reached 39.1C.
2023/10/30,"16 Hilarious Fails From The Internet This Week That Will Make You Laugh So Hard You'll Be Texting This Article To Your Friends Saying ""You Have To Look At This""",I had to include the Taylor Swift pumpkin because I have been thinking about it every day.View Entire Post ›
2023/10/26,"14 Celebs Who Have Literally Offered Their Homes, Money, And Other Resources To Other Celebs","When Taylor Swift first bought her NYC penthouse in 2014, her then-close friend Karlie Kloss stayed over often enough that she essentially had her own room. It had a basket of Karlie's favorite Whole Foods snacks and pictures of her on the wall.View Entire Po…"
2023/11/02,Get Your Parkas Ready For December 2024 – Canadian Swifties Haven't Been Able To Focus Since Taylor Swift JUST Announced Three New Concert Dates,Step 1) Register for Verified Fan Presale on Ticketmaster. Step 2) Look at flights to Vancouver.View Entire Post ›
2023/11/08,Taylor Swift named the Apple Music Artist of the Year: ‘2023 (Taylor’s Version)’,"Apple has named Taylor Swift the Apple Music Artist of the Year for 2023. “Across the charts, streams, and concert stadiums filled with screaming, bracelet-wearing super fans, Swift undeniably reached a new realm of superstardom this year,” Apple explains. …"
