Title,Standfirst
Taylor Swift postpones Rio concert after fan dies amid heatwave,"Singer says safety comes first after death of Ana Clara Benevides Machado, 23, in sweltering stadium"
UC Berkeley’s Taylor Swift class will examine her ‘enduring value’,"Business school will offer a course studying the pop icon, following the success of her Eras tour and Taylor’s Version project"
"Taylor Swift now estimated to be a billionaire, report says","Revenue from the 33-year-old pop star’s Eras tour has pushed her net worth to $1.1bn, according to Bloomberg News"
‘Swiftposium’: Australia to host academic conference on Taylor Swift,"Event at University of Melbourne in February will explore singer’s influence on gender, mental health and urban landscapesGet our weekend culture and lifestyle email"
Belgian university launches Taylor Swift-inspired literature course,Course will use singer’s work as springboard to explore everything from 14th-century texts to Margaret Atwood’s take on The Tempest
Taylor Swift becomes a 400lb pumpkin – and the star of Halloween,"Installations across US include friendship bracelets and a ‘boyfriend graveyard’ , with fans spending hundreds on their masterpieces"
Travis Kelce says NFL is ‘overdoing’ his connection with Taylor Swift,Pop star has watched Kansas City player’s last two gamesNFL has featured Swift heavily during its broadcasts
Share your thoughts on the Taylor Swift: the Eras Tour concert film,What did you think of the Taylor Swift: the Eras Tour concert film?
Taylor Swift: The Eras Tour film review – a cacophonous testament to megastardom,The concert film captures 2023’s biggest pop culture event with breathless fervour and crystal clarity – honing in on the details easily missed in the live show
"Gaza diary part 10: surviving, making plans and drawing strength from Taylor Swift","Ziad, a 35-year-old Palestinian, recounts another day in Gaza: struggling to help others when in such need; a children’s make-believe birthday party; making lunch dates for when it’s all over; and singing Shake it Off to get through"
We should celebrate Taylor Swift. But her success shouldn’t crowd out others | Martha Gill,The arts are the poorer for a system that hugely rewards the few while the less lucky can’t even earn a living wage
Taylor Swift is upgrading Travis Kelce’s fame – and the NFL loves it,America’s latest power pairing benefits both stars and is helping usher in a new audience for football
Taylor Swift: Eras tour concert film to get global release in October,"Film will play in more than 100 countries including the UK from 13 October, in line with its previously announced US, Canada and Mexico release"
BTS and Taylor Swift fans give Javier Milei and his running mate an earful,Argentinian Swifties say ‘Milei is Trump’ as devotees of BTS decry ‘hatred and xenophobia’ of Victoria Villarruel’s tweets about group
Taylor Swift fans have reportedly lined up for five months ahead of Argentina shows,Pitchfork reports that hundreds of fans are sharing tents on a meticulously planned schedule to ensure they get the best spot when doors open next week
Is Taylor Swift joining Harry Styles in the Marvel Cinematic Universe?,"Rumours abound that the pop star may be cast as Dazzler, a superhero pop star who transforms sound into light and energy beams, in the upcoming Deadpool 3"
‘Like a Taylor Swift concert’: Simone Biles enthralls fans on comeback trail,"The seven-time Olympic medalist hailed as the greatest gymnast ever inspires a popstar-like devotion from her fans, who packed a hockey arena over the weekend for US nationals"
Haters gonna hate … but stars like Taylor Swift can help to make literature pop | Elly McCausland,I teach the megastar’s lyrics. Adding contemporary material to school curriculums won’t dumb down – it will inspire
Taylor Swift rules the airwaves! But that’s bad news for music | Arwa Mahdawi,The ubiquity of the pop superstar speaks to her enormous talent – while also reflecting how narrow and repetitive the industry has become
Taylor Swift: 1989 (Taylor’s Version) review – subtle bonus tracks add new depths to a classic,(Republic)Swift’s revamp of her 2014 smash is her most faithful re-recording yet: a time capsule enhanced by pertinent cutting room floor tracks that show she never goes out of style
 Must the show go on? Taylor Swift fan death highlights danger of live shows as Earth cooks,"Temperatures reached 102F in Rio last Friday as 60,000 people packed into the Estádio Olímpico Nilton Santos for Swift’s concert"
‘I’d watch it every night’: Taylor Swift fans turn out for record-breaking concert movie,"The premiere of the Eras tour concert film, one day earlier than planned, got devoted fans singing along and dancing in the aisles"
Billy Bragg looks back: ‘I can’t compete with Taylor Swift. But I can talk to an audience’,"The musician on East End violence, taking on Margaret Thatcher, and why he’ll always be ready with a protest song"
Taylor Swift: warning over fake tickets as NAB urges punters to be wary of social media scams,"Concern around fake Taylor Swift ticket scams comes as bank reveals $220,000 worth of transactions abandoned dailyFollow our Australia news live blog for latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Quake it off: Taylor Swift fans generate seismic activity during Seattle shows,"Local seismometer detects activity equivalent of 2.3 magnitude earthquake, comparable to 2011 ‘Beast Quake’"
Taylor Swift urged to cancel LA shows in solidarity with striking hotel workers,Lieutenant governor among officials calling for postponement as thousands on strike demanding better pay and benefits
"Baby, one more time: why Madonna, Britney Spears and Taylor Swift are all on a nostalgia trip","With retrospective tours, memoirs and rerecordings, three definitive US pop superstars are reclaiming their legacies. Why now – and is the past a trap?"
Taylor Swift ticket release: more tickets for Sydney and Melbourne shows to go on sale today for 2024 Australia Eras tour,"Frontier Touring announces new tickets to Swift’s five Australian shows will be released at 10am on Friday, with a ticket resale market launching in two weeks"
MTV VMAs 2023: Taylor Swift wins big in a ceremony celebrating hip-hop and Shakira,"Swift claims video of the year for Anti-Hero, Shakira wins the video vanguard award and a who’s who of hip-hop legends take the stage at the 40th Video Music Awards"
‘This is so creepy!’: the Taylor Swift vinyl haunted by Britain’s weirdest musicians,Certain vinyl copies of Swift’s Speak Now have a bizarre glitch: they’re playing a obscure British electronica compilation. We delve into this ‘Bermuda Triangle of weirdness’
From Taylor Swift to Coldplay: how to avoid festival and gig ticket scams,Offers on Twitter and Facebook may be tempting – but experts warn over the risks of fraud
‘Please come’: Taylor Swift fans in south-east Asia hope for tour date,"With Singapore the only stop announced, the star’s huge followings in the Philippines and Thailand are left to rue their lack of suitable infrastructure"
"No need to calm down: movie theaters let Taylor Swift fans dance, sing and scream through Eras tour film",Swifties ditch moviegoing etiquette as cinema owners welcome a lifeline for struggling industry
Taylor Swift fans angry as Eras tour tickets put on Viagogo for vast sums,Fans of US singer express frustration at presale tickets being advertised on resale sites for thousands of pounds
How much is Taylor Swift making from the Australian concerts of her Eras tour?,It is estimated the seven shows will earn the singer $35m on top of the expected $700m for her US concertsGet our weekend culture and lifestyle email
